,modelname,input_db,accuracy,sensitivity,specificity
17,KNeighborsClassifier(),pipeline_1,0.997,0.991,0.998
21,KNeighborsClassifier(),pipeline_3,0.991,0.995,0.987
9,KNeighborsClassifier(),standard_norm,0.99,0.978,0.995
7,KNeighborsClassifier(),minmax_norm,0.989,0.978,0.993
1,KNeighborsClassifier(),benchmark,0.931,0.802,0.976
11,KNeighborsClassifier(),pca,0.931,0.802,0.976
5,KNeighborsClassifier(),isoforest_out,0.93,0.778,0.974
13,KNeighborsClassifier(),smote,0.928,0.953,0.902
3,KNeighborsClassifier(),zscore_out,0.926,0.774,0.97
15,KNeighborsClassifier(),random_undersample,0.891,0.87,0.911
19,KNeighborsClassifier(),pipeline_2,0.878,0.602,0.966
4,RandomForestClassifier(),isoforest_out,0.996,0.983,0.999
20,RandomForestClassifier(),pipeline_3,0.995,0.994,0.995
16,RandomForestClassifier(),pipeline_1,0.994,0.983,0.998
2,RandomForestClassifier(),zscore_out,0.993,0.978,0.998
12,RandomForestClassifier(),smote,0.993,0.992,0.994
8,RandomForestClassifier(),standard_norm,0.992,0.978,0.997
0,RandomForestClassifier(),benchmark,0.992,0.976,0.997
6,RandomForestClassifier(),minmax_norm,0.992,0.976,0.997
14,RandomForestClassifier(),random_undersample,0.99,0.989,0.991
10,RandomForestClassifier(),pca,0.986,0.962,0.995
18,RandomForestClassifier(),pipeline_2,0.938,0.749,0.998
