,name,pipeline,r2_score,mse
4,LINEAR,isoforest_out,0.291,0.546
2,LINEAR,zscore_out,0.29,0.514
6,LINEAR,minmax_norm,0.28,0.54
8,LINEAR,standard_norm,0.28,0.54
0,LINEAR,benchmark,0.28,0.54
12,LINEAR,pipeline_1,0.276,0.525
10,LINEAR,pca,0.275,0.544
16,LINEAR,pipeline_3,0.275,0.544
14,LINEAR,pipeline_2,0.011,0.756
9,SVM_RBF,standard_norm,0.377,0.467
7,SVM_RBF,minmax_norm,0.353,0.486
17,SVM_RBF,pipeline_3,0.351,0.487
13,SVM_RBF,pipeline_1,0.351,0.47
11,SVM_RBF,pca,0.218,0.587
1,SVM_RBF,benchmark,0.144,0.643
3,SVM_RBF,zscore_out,0.138,0.623
5,SVM_RBF,isoforest_out,0.132,0.669
15,SVM_RBF,pipeline_2,-0.003,0.767
